ticker,first_price,last_price,total_return_pct
VFC,62.38,74.00,18.627800
HSY,95.93,113.51,18.325900
SO,40.69,48.09,18.186300
AIG,50.71,59.58,17.491600
CL,64.30,75.45,17.340600
BMY,52.27,61.28,17.237400
FAST,46.70,54.69,17.109200
GGP,20.04,23.39,16.716600
KMB,103.84,120.66,16.198000
GPC,81.92,95.01,15.979000
EMN,80.28,92.64,15.396100
UPS,103.32,119.15,15.321300
FL,40.78,46.88,14.958300
IPG,17.60,20.16,14.545500
PG,80.54,91.88,14.080000
MRK,49.49,56.27,13.699700
BIIB,280.33,318.57,13.641100
UTX,112.49,127.57,13.405600
PCG,39.66,44.83,13.035800
SPG,152.09,171.74,12.920000
KO,40.66,45.88,12.838200
WY,31.27,35.26,12.759800
XL,31.25,35.16,12.512000
MAC,58.38,65.68,12.504300
TIF,92.55,103.95,12.317700
CAG,33.57,37.67,12.213300
K,60.81,67.98,11.790800
CPB,43.04,48.11,11.779700
WU,17.03,19.01,11.626500
DVA,64.78,72.25,11.531300
T,34.95,38.88,11.244600
AXP,89.45,99.31,11.022900
SLG,91.98,100.93,9.730400
YUM,75.09,81.61,8.682900
WHR,156.03,168.64,8.081800
VZ,49.00,52.93,8.020400
ESRX,69.96,74.64,6.689500
KHC,72.96,77.76,6.578900
DOV,95.25,100.99,6.026200
DWDP,67.18,71.22,6.013700
VTR,56.82,60.01,5.614200
L,47.38,50.03,5.593100
JEC,62.88,65.96,4.898200
ETN,75.49,79.01,4.662900
PPL,29.65,30.95,4.384500
TGT,63.18,65.25,3.276400
HST,19.26,19.85,3.063300
CVS,70.40,72.50,2.983000
IVZ,35.87,36.54,1.867900
CVX,124.14,125.19,0.845800
EMR,69.30,69.69,0.562800
PVH,136.58,137.21,0.461300
MON,116.31,116.78,0.404100
CA,33.15,33.28,0.392200
GM,40.95,40.99,0.097700
SNI,85.48,85.38,-0.117000
WRK,63.38,63.21,-0.268200
NRG,28.58,28.48,-0.349900
MYL,42.58,42.31,-0.634100
OMC,74.00,72.83,-1.581100
PXD,176.53,172.85,-2.084600
LB,61.59,60.22,-2.224400
HAL,50.01,48.87,-2.279500
FOX,35.04,34.12,-2.625600
MCK,160.16,155.95,-2.628600
AGN,168.05,163.58,-2.659900
TSCO,76.80,74.75,-2.669300
FOXA,35.63,34.53,-3.087300
ADS,262.34,253.48,-3.377300
WDC,82.68,79.53,-3.809900
AMG,213.38,205.25,-3.810100
NWL,32.18,30.90,-3.977600
APTV,88.77,84.83,-4.438400
GILD,75.21,71.64,-4.746700
KSS,56.99,54.23,-4.843000
MET,53.19,50.56,-4.944500
QRVO,70.40,66.60,-5.397700
FE,32.38,30.62,-5.435500
CSRA,31.90,29.92,-6.206900
BAX,69.19,64.64,-6.576100
GWW,253.06,236.25,-6.642700
CBS,63.25,59.00,-6.719400
ADM,42.99,40.08,-6.769000
BWA,54.94,51.09,-7.007600
LUK,28.50,26.49,-7.052600
NWS,17.89,16.60,-7.210700
CAH,66.13,61.27,-7.349200
PNR,76.87,70.62,-8.130600
KIM,19.77,18.15,-8.194200
CF,46.74,42.54,-8.985900
AAP,109.74,99.69,-9.158000
NWSA,17.95,16.21,-9.693600
ALXN,133.44,119.59,-10.379200
JCI,42.58,38.11,-10.497900
HRB,29.38,26.22,-10.755600
PDCO,40.80,36.13,-11.446100
VNO,88.64,78.18,-11.800500
GPS,38.72,34.06,-12.035100
KSU,120.00,105.22,-12.316700
OKE,61.18,53.45,-12.634800
QCOM,73.32,64.02,-12.684100
HPE,16.55,14.36,-13.232600
SCG,46.03,39.78,-13.578100
ARNC,31.59,27.25,-13.738500
WYNN,197.94,168.59,-14.827700
XOM,99.75,83.64,-16.150400
BHF,70.00,58.64,-16.228600
IBM,185.53,153.42,-17.307200
DISH,57.75,47.75,-17.316000
F,15.44,12.49,-19.106200
NLSN,45.08,36.40,-19.254700
WMB,38.28,30.49,-20.350100
NI,32.29,25.67,-20.501700
TPR,55.91,44.23,-20.890700
COP,69.78,54.89,-21.338500
HP,82.25,64.64,-21.410300
OXY,93.85,73.66,-21.513100
NAVI,16.99,13.32,-21.600900
JWN,61.95,47.38,-23.519000
BEN,56.72,43.33,-23.607200
KORS,82.41,62.95,-23.613600
AES,14.27,10.83,-24.106500
SLB,88.82,67.39,-24.127400
STX,55.41,41.84,-24.490200
COG,38.17,28.60,-25.072000
HOG,68.56,50.88,-25.787600
HCP,36.21,26.08,-27.975700
SIG,78.71,56.55,-28.154000
EBAY,53.94,37.74,-30.033400
APC,78.56,53.64,-31.721000
DVN,61.16,41.40,-32.308700
UAA,21.75,14.43,-33.655200
FLR,78.87,51.65,-34.512500
EQT,88.73,56.92,-35.850300
GE,27.50,17.45,-36.545500
XRX,47.64,29.15,-38.811900
FTI,51.25,31.31,-38.907300
SRCL,114.88,67.99,-40.816500
RL,175.37,103.69,-40.873600
HES,81.12,47.47,-41.481800
PRGO,153.10,87.16,-43.069900
CMG,523.43,289.03,-44.781500
BHGE,57.68,31.64,-45.145600
MOS,47.00,25.66,-45.404300
FLS,77.30,42.13,-45.498100
CTL,31.65,16.68,-47.298600
FCX,37.63,18.96,-49.614700
KMI,35.91,18.07,-49.679800
EVHC,69.91,34.56,-50.565000
APA,85.48,42.22,-50.608300
MRO,34.91,16.93,-51.503900
M,53.39,25.19,-52.818900
NOV,79.02,36.02,-54.416600
NBL,66.59,29.14,-56.239700
TRIP,80.48,34.46,-57.181900
VIAB,86.95,30.81,-64.565800
MAT,47.39,15.38,-67.545900
UA,44.02,13.32,-69.741000
DISCK,82.52,21.17,-74.345600
DISCA,89.10,22.38,-74.882200
RRC,81.74,17.06,-79.128900
CHK,26.62,3.96,-85.124000
